objectid,service_request_id,subject,status,status_notes,service_name,service_code,agency_responsible,service_notice,requested_datetime,updated_datetime,expected_datetime,closed_datetime,address,zipcode,media_url,lat,lon
4603663,15412536,Homeless Encampment Request,Closed,Referred to another organization,Homeless Encampment Request,NA,Office of Homeless Services,1 Business Days,2023-01-03T14:53:42Z,2024-05-10T18:40:57Z,2023-01-04T00:00:00Z,2023-01-04T17:25:58Z,BATH ST & E VENANGO ST,NA,https://d17aqltn7cihbm.cloudfront.net/uploads/large_c4337150dab91157db2936eeb46e58b8,39.98613062243602,-75.09060186139239
4603742,15412636,Homeless Encampment Request,Closed,Referred to another organization,Homeless Encampment Request,NA,Office of Homeless Services,1 Business Days,2023-01-03T15:12:03Z,2024-05-10T18:40:57Z,2023-01-04T00:00:00Z,2023-01-04T17:29:16Z,KNIGHTS RD & LIBERTY BELL BLVD,19154,NA,40.08893617276103,-74.96954156148368
4603952,15412898,Homeless Encampment Request,Closed,Referred to another organization,Homeless Encampment Request,NA,Office of Homeless Services,1 Business Days,2023-01-03T16:08:52Z,2024-05-10T18:40:57Z,2023-01-04T00:00:00Z,2023-01-04T18:09:51Z,BUSTLETON AVE & E ROOSEVELT BLVD,NA,NA,40.0347439109579,-75.07109755764672
4604026,15412986,Homeless Encampment Request,Closed,Referred to another organization,Homeless Encampment Request,NA,Office of Homeless Services,1 Business Days,2023-01-03T16:27:38Z,2023-02-16T03:34:26Z,2023-01-04T00:00:00Z,2023-01-04T17:47:43Z,5201 DEVEREAUX AVE,19135,https://d17aqltn7cihbm.cloudfront.net/uploads/large_e4564cbe5c5aca810e4770c26e2605f1,40.01355073105929,-75.0504299822234
4602645,15411094,Homeless Encampment Request,Closed,Referred to another organization,Homeless Encampment Request,NA,Office of Homeless Services,1 Business Days,2023-01-01T00:42:15Z,2023-01-03T19:41:14Z,2023-01-03T00:00:00Z,2023-01-03T19:41:13Z,12131 KNIGHTS RD,19154,NA,40.08897906000517,-74.96933467194064
4602699,15411169,Homeless Encampment Request,Closed,Referred to another organization,Homeless Encampment Request,NA,Office of Homeless Services,1 Business Days,2023-01-01T13:43:30Z,2023-02-16T03:14:50Z,2023-01-04T00:00:00Z,2023-01-03T20:19:25Z,7423 E ROOSEVELT BLVD,19152,NA,40.04691818773845,-75.05141055865869
4602746,15411237,Homeless Encampment Request,Closed,Referred to another organization,Homeless Encampment Request,NA,Office of Homeless Services,1 Business Days,2023-01-01T17:28:01Z,2024-05-10T18:40:57Z,2023-01-04T00:00:00Z,2023-01-03T20:40:27Z,W YORK ST & N 12TH ST,NA,https://d17aqltn7cihbm.cloudfront.net/uploads/large_fc1c8acfdc47edee21875018e7391361,39.98888770993955,-75.15181571705274
4602778,15411286,Homeless Encampment Request,Closed,Referred to another organization,Homeless Encampment Request,NA,Office of Homeless Services,1 Business Days,2023-01-01T19:39:05Z,2023-01-03T21:00:05Z,2023-01-04T00:00:00Z,2023-01-03T21:00:04Z,119 E CUMBERLAND ST,19125,https://d17aqltn7cihbm.cloudfront.net/uploads/large_f24341386e49b91240432579a206a9f9,39.98772280599495,-75.13079497712266
4602870,15411434,Homeless Encampment Request,Closed,Referred to another organization,Homeless Encampment Request,NA,Office of Homeless Services,1 Business Days,2023-01-02T01:05:17Z,2023-01-03T22:20:07Z,2023-01-04T00:00:00Z,2023-01-03T22:20:06Z,8724 CRISPIN ST,19136,NA,40.05132968724994,-75.01337403746452
4602904,15411491,Homeless Encampment Request,Closed,Referred to another organization,Homeless Encampment Request,NA,Office of Homeless Services,1 Business Days,2023-01-02T12:03:25Z,2023-02-16T03:18:58Z,2023-01-03T00:00:00Z,2023-01-03T22:48:26Z,4501 WOODHAVEN RD # 1A,19154,NA,40.082083170452776,-74.96596858041963
4602920,15411511,Homeless Encampment Request,Closed,Referred to another organization,Homeless Encampment Request,NA,Office of Homeless Services,1 Business Days,2023-01-02T13:10:36Z,2023-02-16T03:13:55Z,2023-01-03T00:00:00Z,2023-01-03T22:45:58Z,7510 E ROOSEVELT BLVD,19152,NA,40.04914769124154,-75.05161744173608
4602972,15411585,Homeless Encampment Request,Closed,Referred to another organization,Homeless Encampment Request,NA,Office of Homeless Services,1 Business Days,2023-01-02T16:03:58Z,2023-01-03T23:42:45Z,2023-01-03T00:00:00Z,2023-01-03T23:42:44Z,12121 KNIGHTS RD,19154,NA,40.08805204114352,-74.97061533802778
4603018,15411664,Homeless Encampment Request,Closed,Referred to another organization,Homeless Encampment Request,NA,Office of Homeless Services,1 Business Days,2023-01-02T18:07:54Z,2023-01-04T14:14:08Z,2023-01-03T00:00:00Z,2023-01-04T14:14:06Z,12123 KNIGHTS RD,19154,https://d17aqltn7cihbm.cloudfront.net/uploads/large_dac4ee1ae86bf03074a87730c5d1b916,40.08779654316005,-74.9709088279293
4603102,15411799,Homeless Encampment Request,Closed,Referred to another organization,Homeless Encampment Request,NA,Office of Homeless Services,1 Business Days,2023-01-02T21:52:11Z,2023-02-16T03:15:09Z,2023-01-04T00:00:00Z,2023-01-04T15:23:25Z,632 N 2ND ST,19123,https://d17aqltn7cihbm.cloudfront.net/uploads/large_524a1d49bede9e92d4e71c7ac6b47eb5,39.961816801641895,-75.14122957129189
4603109,15411818,Homeless Encampment Request,Closed,Referred to another organization,Homeless Encampment Request,NA,Office of Homeless Services,1 Business Days,2023-01-02T22:34:53Z,2023-01-04T15:32:41Z,2023-01-04T00:00:00Z,2023-01-04T15:29:54Z,750 S 12TH ST,19147,https://d17aqltn7cihbm.cloudfront.net/uploads/large_317d00aab751f95db14b26c0d2fdbee6,39.93987854459996,-75.1612051022108
4603221,15412012,Homeless Encampment Request,Closed,Referred to another organization,Homeless Encampment Request,NA,Office of Homeless Services,1 Business Days,2023-01-03T12:32:18Z,2024-05-10T18:40:57Z,2023-01-04T00:00:00Z,2023-01-04T16:27:46Z,FRANKFORD AVE & E LEHIGH AVE,19125,NA,39.98703199031139,-75.12234155205603
4603528,15412380,Homeless Encampment Request,Closed,Referred to another organization,Homeless Encampment Request,NA,Office of Homeless Services,1 Business Days,2023-01-03T14:29:43Z,2023-02-16T03:14:29Z,2023-01-04T00:00:00Z,2023-01-04T17:20:43Z,1819 E HAGERT ST,19125,https://d17aqltn7cihbm.cloudfront.net/uploads/large_52c8a12a7a6c04c5908eed64f150dee3,39.98644040855183,-75.13033744492637
4604177,15413174,Homeless Encampment Request,Closed,Referred to another organization,Homeless Encampment Request,NA,Office of Homeless Services,1 Business Days,2023-01-03T17:03:12Z,2024-05-10T18:40:57Z,2023-01-04T00:00:00Z,2023-01-03T17:03:13Z,KNIGHTS RD & WOODHAVEN RD,NA,NA,40.087637513457665,-74.97122656144833
4604352,15413391,Homeless Encampment Request,Closed,Referred to another organization,Homeless Encampment Request,NA,Office of Homeless Services,1 Business Days,2023-01-03T17:44:46Z,2023-02-16T03:19:48Z,2023-01-04T00:00:00Z,2023-01-03T17:44:47Z,3694 CHESTERFIELD RD,19114,NA,40.068683900220016,-74.99257100265073
4608049,15422164,Homeless Encampment Request,Closed,Referred to another organization,Homeless Encampment Request,NA,Office of Homeless Services,1 Business Days,2023-01-05T14:53:03Z,2023-02-16T03:15:45Z,2023-01-06T00:00:00Z,2023-01-05T18:53:07Z,10000 FRANKFORD AVE,19114,NA,40.06482230528533,-74.98178858131706
